estado,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,atr,lit,num,se,ab_p,fc_p,opr,opa,entao,fimse,fim,eof
49,e49,e49,e49,e49,R30,e49,e49,e49,e49,R30,R30,e49,e49,e49,R30,e49,e49,e49,e49,e49,R30,e49,e49
50,e50,e50,e50,e50,e50,e50,e50,e50,e50,e50,e50,e50,e50,e50,e50,e50,s55,e50,e50,e50,e50,e50,e50
51,e51,e51,e51,e51,e51,e51,e51,e51,e51,e51,e51,e51,e51,e51,e51,e51,e51,s56,e51,e51,e51,e51,e51
52,e52,e52,R6,e52,e52,e52,R6,R6,R6,e52,e52,e52,e52,e52,e52,e52,e52,e52,e52,e52,e52,e52,e52
53,e53,e53,e53,e53,s40,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53,e53
54,e54,e54,e54,e54,R19,e54,e54,e54,e54,R19,R19,e54,e54,e54,R19,e54,e54,e54,e54,e54,R19,R19,e54
55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,e55,s58,e55,e55,e55
56,e56,e56,e56,e56,s45,e56,e56,e56,e56,e56,e56,e56,e56,s46,e56,e56,e56,e56,e56,e56,e56,e56,e56
57,e57,e57,e57,R7,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57,e57
58,e58,e58,e58,e58,R26,e58,e58,e58,e58,R26,R26,e58,e58,e58,R26,e58,e58,e58,e58,e58,R26,e58,e58
59,e59,e59,e59,e59,e59,e59,e59,e59,e59,e59,e59,e59,e59,e59,e59,e59,R27,e59,e59,e59,e59,e59,e59
60,e60,e60,e60,e60,s45,e60,e60,e60,e60,e60,e60,e60,e60,s46,e60,e60,e60,e60,e60,e60,e60,e60,e60
61,e61,e61,e61,R20,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61,e61
